FPR,TPR
0.0,0.0
2.3820867079561697E-5,0.0
4.7641734159123394E-5,0.0
4.7641734159123394E-5,3.3112582781456954E-4
4.7641734159123394E-5,6.622516556291391E-4
7.146260123868509E-5,6.622516556291391E-4
7.146260123868509E-5,9.933774834437086E-4
7.146260123868509E-5,0.0013245033112582781
7.146260123868509E-5,0.0016556291390728477
7.146260123868509E-5,0.001986754966887417
7.146260123868509E-5,0.002317880794701987
7.146260123868509E-5,0.0026490066225165563
9.528346831824679E-5,0.0026490066225165563
1.1910433539780849E-4,0.0026490066225165563
1.4292520247737017E-4,0.0026490066225165563
1.4292520247737017E-4,0.0029801324503311256
1.6674606955693186E-4,0.0029801324503311256
1.9056693663649355E-4,0.0029801324503311256
1.9056693663649355E-4,0.003311258278145695
1.9056693663649355E-4,0.0036423841059602642
1.9056693663649355E-4,0.0039735099337748336
2.1438780371605524E-4,0.0039735099337748336
2.3820867079561692E-4,0.0039735099337748336
2.3820867079561692E-4,0.004304635761589403
2.3820867079561692E-4,0.004635761589403972
2.3820867079561692E-4,0.0049668874172185415
2.3820867079561692E-4,0.005298013245033111
2.3820867079561692E-4,0.00562913907284768
2.6202953787517864E-4,0.00562913907284768
2.6202953787517864E-4,0.0059602649006622495
2.6202953787517864E-4,0.006291390728476819
2.6202953787517864E-4,0.006622516556291388
2.8585040495474035E-4,0.006622516556291388
2.8585040495474035E-4,0.0069536423841059574
2.8585040495474035E-4,0.007284768211920527
2.8585040495474035E-4,0.007615894039735096
2.8585040495474035E-4,0.007947019867549665
3.0967127203430206E-4,0.007947019867549665
3.334921391138638E-4,0.007947019867549665
3.334921391138638E-4,0.008278145695364236
3.334921391138638E-4,0.008609271523178806
3.334921391138638E-4,0.008940397350993376
3.573130061934255E-4,0.008940397350993376
3.573130061934255E-4,0.009271523178807946
3.811338732729872E-4,0.009271523178807946
3.811338732729872E-4,0.009602649006622516
3.811338732729872E-4,0.009933774834437087
3.811338732729872E-4,0.010264900662251657
4.049547403525489E-4,0.010264900662251657
4.049547403525489E-4,0.010596026490066227
4.049547403525489E-4,0.010927152317880797
4.049547403525489E-4,0.011258278145695367
4.2877560743211063E-4,0.011258278145695367
4.2877560743211063E-4,0.011589403973509937
4.5259647451167235E-4,0.011589403973509937
4.7641734159123406E-4,0.011589403973509937
4.7641734159123406E-4,0.011920529801324508
5.002382086707958E-4,0.011920529801324508
5.002382086707958E-4,0.012251655629139078
5.002382086707958E-4,0.012582781456953648
5.002382086707958E-4,0.012913907284768218
5.002382086707958E-4,0.013245033112582788
5.240590757503575E-4,0.013245033112582788
5.478799428299192E-4,0.013245033112582788
5.478799428299192E-4,0.013576158940397359
5.717008099094809E-4,0.013576158940397359
5.717008099094809E-4,0.013907284768211929
5.717008099094809E-4,0.014238410596026499
5.717008099094809E-4,0.014569536423841069
5.955216769890426E-4,0.014569536423841069
6.193425440686043E-4,0.014569536423841069
6.431634111481661E-4,0.014569536423841069
6.431634111481661E-4,0.01490066225165564
6.669842782277278E-4,0.01490066225165564
6.669842782277278E-4,0.01523178807947021
6.669842782277278E-4,0.01556291390728478
6.908051453072895E-4,0.01556291390728478
6.908051453072895E-4,0.015894039735099348
6.908051453072895E-4,0.016225165562913917
6.908051453072895E-4,0.016556291390728485
6.908051453072895E-4,0.016887417218543053
7.146260123868512E-4,0.016887417218543053
7.146260123868512E-4,0.017218543046357622
7.146260123868512E-4,0.01754966887417219
7.146260123868512E-4,0.01788079470198676
7.384468794664129E-4,0.01788079470198676
7.384468794664129E-4,0.018211920529801327
7.622677465459746E-4,0.018211920529801327
7.622677465459746E-4,0.018543046357615896
7.860886136255363E-4,0.018543046357615896
7.860886136255363E-4,0.018874172185430464
7.860886136255363E-4,0.019205298013245033
8.099094807050981E-4,0.019205298013245033
8.099094807050981E-4,0.0195364238410596
8.337303477846598E-4,0.0195364238410596
8.337303477846598E-4,0.01986754966887417
8.575512148642215E-4,0.01986754966887417
8.575512148642215E-4,0.020198675496688738
8.813720819437832E-4,0.020198675496688738
8.813720819437832E-4,0.020529801324503306
9.051929490233449E-4,0.020529801324503306
9.051929490233449E-4,0.020860927152317875
9.290138161029066E-4,0.020860927152317875
9.290138161029066E-4,0.021192052980132443
9.528346831824683E-4,0.021192052980132443
